datetime_of_operation,num_few_shot_nominal_imgs,image_path,image_name,classification_result,non_defect_prob,defect_prob,nominal_description,defective_description
2024-11-16T04:57:57.052941,50,icImg_0001.jpg,icImg_0001.jpg,Nominal,0.504,0.496,"A woven textile with a uniform and consistent pattern, featuring no visible tears, defects, or disruptions in the material's weave structure.","A woven textile with a distinct defect, where the material has been damaged, disrupting the otherwise uniform pattern of the fabric."
2024-11-16T04:57:57.073757,50,icImg_0002.jpg,icImg_0002.jpg,Nominal,0.504,0.496,"A woven textile with a uniform and consistent pattern, featuring no visible tears, defects, or disruptions in the material's weave structure.","A woven textile with a distinct defect, where the material has been damaged, disrupting the otherwise uniform pattern of the fabric."
2024-11-16T04:57:57.094296,50,icImg_0003.jpg,icImg_0003.jpg,Nominal,0.504,0.496,"A woven textile with a uniform and consistent pattern, featuring no visible tears, defects, or disruptions in the material's weave structure.","A woven textile with a distinct defect, where the material has been damaged, disrupting the otherwise uniform pattern of the fabric."
2024-11-16T04:57:57.115105,50,icImg_0004.jpg,icImg_0004.jpg,Nominal,0.505,0.495,"A woven textile with a uniform and consistent pattern, featuring no visible tears, defects, or disruptions in the material's weave structure.","A woven textile with a distinct defect, where the material has been damaged, disrupting the otherwise uniform pattern of the fabric."
2024-11-16T04:57:57.135978,50,icImg_0005.jpg,icImg_0005.jpg,Nominal,0.505,0.495,"A woven textile with a uniform and consistent pattern, featuring no visible tears, defects, or disruptions in the material's weave structure.","A woven textile with a distinct defect, where the material has been damaged, disrupting the otherwise uniform pattern of the fabric."
2024-11-16T04:57:57.156812,50,icImg_0006.jpg,icImg_0006.jpg,Nominal,0.505,0.495,"A woven textile with a uniform and consistent pattern, featuring no visible tears, defects, or disruptions in the material's weave structure.","A woven textile with a distinct defect, where the material has been damaged, disrupting the otherwise uniform pattern of the fabric."
2024-11-16T04:57:57.177733,50,icImg_0007.jpg,icImg_0007.jpg,Nominal,0.503,0.497,"A woven textile with a uniform and consistent pattern, featuring no visible tears, defects, or disruptions in the material's weave structure.","A woven textile with a distinct defect, where the material has been damaged, disrupting the otherwise uniform pattern of the fabric."
2024-11-16T04:57:57.198324,50,icImg_0008.jpg,icImg_0008.jpg,Nominal,0.505,0.495,"A woven textile with a uniform and consistent pattern, featuring no visible tears, defects, or disruptions in the material's weave structure.","A woven textile with a distinct defect, where the material has been damaged, disrupting the otherwise uniform pattern of the fabric."
2024-11-16T04:57:57.218879,50,icImg_0009.jpg,icImg_0009.jpg,Nominal,0.504,0.496,"A woven textile with a uniform and consistent pattern, featuring no visible tears, defects, or disruptions in the material's weave structure.","A woven textile with a distinct defect, where the material has been damaged, disrupting the otherwise uniform pattern of the fabric."
2024-11-16T04:57:57.240540,50,icImg_0010.jpg,icImg_0010.jpg,Nominal,0.505,0.495,"A woven textile with a uniform and consistent pattern, featuring no visible tears, defects, or disruptions in the material's weave structure.","A woven textile with a distinct defect, where the material has been damaged, disrupting the otherwise uniform pattern of the fabric."
